access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
+251 (0) 115 531656,,,,port de annaba,,kerb,,Al-Qarqani,,,Water Utility,6,,,,,Pleine vie,,3430 m,,,,,yield,citywalls,,,,nature_reserve,spitch,,grain_mill,,,tree,camping,,UWA,at water way,,,,,,pachamama,,,variety_store,karate,,,camp_site;guest_house,air_traffic_control,,,no,,
agricultural,,,,taxi,,ditch,,Kenol,,,ruins,Embu,,,,,reformed,,1442,,,,,path,no,,,,tree,picnic_site,,water_point,,,Lotissement Communal,CSO,,Deliverance church,historical_state,,,,,,Pentecostes,,,gallery,boxing,,,apartment,defensive;observation,,,harbour,,
bing; survey,,,,Msuya mill,,swing_gate,,BP Atlantic,,,Computer room,10,,,,,shia,,1631.01,,,,,turning_circle,fort,,,,pitch,marina,,beehive,,,peaks,international_organisation,,Pharmacie l'Emmanuel,Khor Ambado,,,,,,RC,,,Fabric,ultralight_aviation,,,gallery,Torre funicular,,,,,
business,,,,toilets,,Barrier de Nkol Assa,,Good Year,,,dfgi,Kassala,,,,,orthodox,,5262ft,,,,,lift,building,,,,Salon Comunal Santa Lucia,Gym,,pumping_rig,,,paek,Maison de la Radio,,KNUST,area,,,,,,black magics,,,photo_studio,"Basket ball, Volley Ball, Squash",,,picnic_site,communication:mobile_phone=yes,,,,,
pompe de la maisonde catholique d'Okola,,,,restaurant;fast_food,,shipwreck,,Tamoil,,,Victory Vision Enterprise,Asseb,,,,,Temoin de Jehova,,483.18,,,,,traffic_signals,winery,,,,mining,Club_House,,buoy,,,hills,water_utility,,inwi,Tulgit,,,,,,gnostic,,,hunting,motor,,,hotel;campsite,,,,,,
Magassin d'etude(dragage de Pitoa Bounguel),,,,Cafe & Deli,,retaining_wall,,مصر للبترول,,,tools,Dire Dawa,,,,,Mosquée,,126,,,,,pass,meteor_crater,,,,gated_community,golf_course,,vehicle,,,plateau,cbo,,SGBCI,historical_state;locality,,,,,,Protestante,,,clothes,"squash,tennis",,,artwork,,,,,,
Mayo Badjouma,,,,fire_station,,hedge,,Hiunday,,,-,Nyala,,,,,Freemason,,2550,,,,,road,Memorial,,,,aquaculture,beach_resort,,Dry Dock,,,1945,airline,,8ta,f,,,,,,Epiritismo,,,tool-hire,soccer,,,winery,,,,,,
GIC producteur de cotton et vivriers de pitoa,,,,Inlet to drainage,,undefined,,Texaco,,,U.C GITONGWE,Dongola,,,,,Nederduits Gereformeerd,,723.207703,,,,,passing_place,lugar,,,,port,turkish_bath,,billboard,,,plant,Agriculture Equipment,,BMW,crowded,,,,,,Jehovah's_Witnesses,,,watches,squash,,,Cottage,,,,,,
customers,,,,Self-catering cottage,,stop,,Roil,,,shrine,Ad-Damir,,,,,Hindu,,1271.48,,,,,rest_area,ruin,,,,harbour,picnic_table,,ftp.chez-alice.fr,,,grassland,notary,,Regional,quarter,,,,,,catolica,,,baby_goods,netball,,,Corniche,,,,,,
Limit de Mva'a I et Mva'a II,,,,coworking_space,,full-height_turnstile,,Inov,,,mtito Andei Apartments,7,,,,,jehovahs_witness ,,432 m,,,,,noexit,Fábrica de Hilados y Tejidos de San José de Suaita,,,,,fishing,,communications_transponder,,,"waterfalls,_sinkhole",Centre artisanal,,base:,Game Lodge,,,,,,católica,,,kiosk;boutique,karting,,,beach_resort,,,,,,
no,,,,saloon,,Gate,,Cash Express,,,Jemsha comm limited,Mongo,,,,,AICHA,,2370,,,,,tunnel entrance,cruise,,,,,diving_centre,,inlet,,,no,LILINGUA BURUNDI:Traduction et cours de langues,,Jinja Sailing Club,isolated_dwelling,,,,,,Catolico,,,Glass_decor,fitness; step; dance; karate; aikido; tai-chi,,,camp_site;hotel,,,,,,
Limit de Ntuisong-Yemassi,,,,health_centre,,plants,,ORYX,,,dormitory,Sarh,,,,,others,,1420.97,,,,,bus_stop;crossing,Monumento a Abdon Calderon,,,,,surf,,cattle_pen,,,dune,ong,,Alice Ingham Primary School,Ngora,,,,,,Iglesia_Ortodoxa_Ucraniana_de_América_del_Sur,,,perfume,rc_car,,,plage,,,,,,
pont de Doumbe Godouji,,,,Moulin,,police_checkpoint,,Gulf Oil,,,power house,Barentu,,,,,assemblies_of_god,,2479,,,,,speed_camera,watering_place,,,,,firepit,,survey_point,,,desert,it,,Kenya Agricultural Research Institute,localyty,,,,,,spiritism,,,hairdresser;beautician,"Polo,_squash",,,hotel,,,,,,
ሾው ሚ ባርና ሬስቶራንት,,,,hammam,,exit,,MTN Mobile Money,,,weather_station,Kakamega,,,,,roman_catholic,,2275,,,,,raceway,unesco_world_heritage,,,,,sport,,well_water,,,coast,political_party,,National Bank of Malawi,ocean,,,,,,Christian,,,sunglasses,salle de musculation,,,alpine_hut,,,,,,
staff,,,,ambulance point,,neighbourhood,,Qingqi,,,silos,Asmara,,,,,Church of Uganda,,1875.1900000000001,,,,,tunnel_entrance,train,,,,,nursery,,Stock Céréalier,,,hill,landscape_architects,,Stabex,city,,,,,,jeo,,,vegetarian,hockey,,,wine_cellar,,,,,,
Place de Renouveau d'Okola,,,,car_rental,,bump,,Sky,,,Towla Managers House,adl-Damazin,,,,,Paroquia de Fatima,,1877,,,,,crossing;traffic_signals,stone,,,,,resort,,Resevoir_covered,,,plain,physician,,One person,isoalted_dwelling,,,,,,catholic,,,sewing_equiptment,SQUASH,,,abandoned:camp_site,,,,,,
Kleinstraat,,,,shrine,,control,,SGBCI,,,<different>,Doba,,,,,EVANGELICAL,,"112,14 m.",,,,,traffic_mirror,historic,,,,,pesca,,water_works,,,waterhole,union,,Hessequa Society for Archaeology,islolated_dwelling,,,,,,religion_of_humanity,,,arcade,athletics,,,bed_and_breakfast,,,,,,
