access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
,,,,,,,,,,,,,,,,,,,,,,bus_guideway,,,,,,,,,,,,,,transtu,,,,,,,,,,,EArth,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,residential;track,,,,,,,,,,,,,,TOTCO,,,,,,,,,,,salt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,corridor,,,,,,,,,,,,,,sanral,,,,,,,,,,,cobblestone;unpaved,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,secondary;residential,,,,,,,,,,,,,,Cabildo Insular deLa Palma,,,,,,,,,,,asphal;sand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,parking_lane,,,,,,,,,,,,,,Giba Gorge MTB Park,,,,,,,,,,,pebblestone,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESCOM,,,,,,,,,,,du,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matatu,,,,,,,,,,,paved;dirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flag Ltd.,,,,,,,,,,,asphalt;dirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TransHierro,,,,,,,,,,,bricks,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commune,,,,,,,,,,,Clay,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metrorail,,,,,,,,,,,un22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,steg,,,,,,,,,,,"gravel,_rocks",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFCO,,,,,,,,,,,unpaved2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCC / CFL,,,,,,,,,,,wood,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Onjala Lodge,,,,,,,,,,,rocks,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IUPM,,,,,,,,,,,unpaved;dirt/sand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.costa-adeje.es/es/naturaleza/rutas-senderismo/sendero-camino-de-teresme,,,,,,,,,,,un,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayuntamiento de Candelaria,,,,,,,,,,,a,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NadorBus,,,,,,,,,,,ground;dirt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Société Nationale des Autoroutes du Maroc S.A.,,,,,,,,,,,"asphalt, grass",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transnet,,,,,,,,,,,boardwalk,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South African National Parks,,,,,,,,,,,no,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robben Island Museum,,,,,,,,,,,"Deep_Sand,_4x4",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabildo Insular de El Hierro,,,,,,,,,,,karral,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transportes Insular de la Palma,,,,,,,,,,,cobblestone:lanes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MetroTenerife,,,,,,,,,,,sand?,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Global SU,,,,,,,,,,,cobblestone:flattened,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CFB,,,,,,,,,,,tarmac,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scota,,,,,,,,,,,cement,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOTRACO,,,,,,,,,,,gravel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Société Nouvelle des Phosphates du Togo (SNPT),,,,,,,,,,,dirt; unpaved,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soretras,,,,,,,,,,,asphalt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hexpas EcoTrek,,,,,,,,,,,U,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arch Dam Pipeline,,,,,,,,,,,scree,,,,,,,,,
